month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ
1,ñ¶í¨,23.526315789473685,3.9492393227139546,20.0,-3.526315789473685,-0.8929101280826829,-11.424794434901592
2,ñ¶í¨,20.263157894736842,4.011678856970232,19.0,-1.2631578947368425,-0.3148701428435939,-9.286515608677306
3,ñ¶í¨,21.526315789473685,4.06021922030807,25.0,3.473684210526315,0.8555410489049281,-4.646754230089826
4,ñ¶í¨,20.736842105263158,3.280279548777613,24.0,3.2631578947368425,0.9947804283792975,-3.297401202818385
5,ñ¶í¨,18.736842105263158,4.09392646711304,14.0,-4.7368421052631575,-1.1570413253180605,-12.924695039489237
6,ñ¶í¨,17.0,3.815174380753199,16.0,-1.0,-0.26211121699831136,-8.630348761506397
7,ñ¶í¨,17.105263157894736,3.942570183157531,17.0,-0.10526315789473628,-0.026699120879170497,-7.990403524209796
8,ñ¶í¨,17.526315789473685,5.0372878621186565,,,,
9,ñ¶í¨,16.263157894736842,5.445100807792042,,,,
10,ñ¶í¨,16.263157894736842,3.6794037147215084,,,,
11,ñ¶í¨,18.57894736842105,4.337380026822186,,,,
12,ñ¶í¨,21.789473684210527,5.050620944975435,,,,
